batch ID	bam	index	bam ID	index ID
10	10_markdup.bam	10_markdup.bam.bai	file-FqFGV604JJ8Kz5B59PK5V0j0	file-FqFGV604JJ8GYQ2b9PqGQYbj
11	11_markdup.bam	11_markdup.bam.bai	file-FqFGV604VKp2k12k9PQyVXgy	file-FqFGV604VKp7qqFx2X26FK7V
12	12_markdup.bam	12_markdup.bam.bai	file-FqFGV684kZBbyBB1F88K08Qf	file-FqFGV684kZBzB4qX9QJ5G94J
13	13_markdup.bam	13_markdup.bam.bai	file-FqFGV684yvBzPF7qF7q4k3gq	file-FqFGV684yvBvYQ2b9PqGQYbp
14	14_markdup.bam	14_markdup.bam.bai	file-FqFGV4j47zz98y292Vv0jjqF	file-FqFGV5047zzK3fgvB767F79x
15	15_markdup.bam	15_markdup.bam.bai	file-FqFGV7Q4K8VvGPQb0gFZkVy5	file-FqFGV7Q4K8VVGgJpB6JyXGpY
16	16_markdup.bam	16_markdup.bam.bai	file-FqFGV5Q49YVVJg212X6q3b1x	file-FqFGV5j49YVvYQ2b9PqGQYbf
17	17_markdup.bam	17_markdup.bam.bai	file-FqFGXPj41ZJ2fyYYB6ykkXYf	file-FqFGXPj41ZJ32f2F0gyKk3FK
18	18_markdup.bam	18_markdup.bam.bai	file-FqFGXQ04j2JxGV15J07V554z	file-FqFGXQ04j2Jf4xVKJ173B04j
19	19_markdup.bam	19_markdup.bam.bai	file-FqFGXV048KjP50390jKvXk1q	file-FqFGXV048Kj32B6j2Vgz3Kk8
20	20_markdup.bam	20_markdup.bam.bai	file-FqFGXPQ4F3XP50390jKvXk1b	file-FqFGXP84F3XFZpYVJ04kfQVq
21	21_markdup.bam	21_markdup.bam.bai	file-FqFGXVQ4gG07qqFx2X26FK9x	file-FqFGXVQ4gG0K3fgvB767F7GJ
22	22_markdup.bam	22_markdup.bam.bai	file-FqFGXV843vx4k4ZgJ0qP726g	file-FqFGXV843vx4kYb32XFvyzY6
23	23_markdup.bam	23_markdup.bam.bai	file-FqFGXV84gkk1Jg212X6q3b4J	file-FqFGXV84gkk4XK8bF7j6qFX8
